molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1241864,IC50,nM,1400.0,IC50,uM,1.4,Nc1ncnc2c1c(-c1ccc3[nH]c(=O)ccc3c1)nn2C1CCCC1,5.853871964321762
CHEMBL1241949,IC50,nM,12000.0,IC50,uM,12.0,CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21,4.920818753952375
CHEMBL1241950,IC50,nM,7000.0,IC50,uM,7.0,CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21,5.154901959985743
CHEMBL1242033,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,4.0
CHEMBL1242034,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,4.0
CHEMBL1242117,IC50,nM,10000.0,IC50,uM,10.0,Cn1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,5.0
CHEMBL1242118,IC50,nM,29000.0,IC50,uM,29.0,CC(C)n1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,4.5376020021010435
CHEMBL1242119,IC50,nM,100000.0,IC50,uM,100.0,Nc1ncnc2c1c(-c1ccc3occc(=O)c3c1)nn2C1CCCC1,4.0
CHEMBL1242207,IC50,nM,25000.0,IC50,uM,25.0,CC(C)n1nc(-c2ccc3cnccc3c2)c2c(N)ncnc21,4.6020599913279625
CHEMBL1242208,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21,4.0
CHEMBL1242209,IC50,nM,18000.0,IC50,uM,18.0,Cc1ccc2ccc(-c3nn(C(C)C)c4ncnc(N)c34)cc2n1,4.7447274948966935
CHEMBL1240565,IC50,nM,15000.0,IC50,uM,15.0,Cn1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,4.823908740944319
CHEMBL1242293,IC50,nM,380.0,IC50,uM,0.38,CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,6.42021640338319
CHEMBL1242294,IC50,nM,176.0,IC50,uM,0.176,CC(C)n1nc(-c2ccc3[nH]ccc3c2)c2c(N)ncnc21,6.7544873321858505
CHEMBL1242295,IC50,nM,734.0,IC50,uM,0.734,Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1,6.134303940083929
CHEMBL1242384,IC50,nM,955.0,IC50,uM,0.955,CC(C)n1nc(-c2ccc3c(ccn3C)c2)c2c(N)ncnc21,6.019996628416254
CHEMBL1242385,IC50,nM,539.0,IC50,uM,0.539,Cn1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,6.268411234813262
CHEMBL1242386,IC50,nM,1100.0,IC50,uM,1.1,CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21,5.958607314841775
