molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure
CHEMBL4795888,IC50,nM,710.0,IC50,nM,710.0,CC(C)c1ccc(C2N=C(C(N)=O)c3ncn(-c4ccc(F)cc4)c3N2)cc1,6.1487416512809245,<rdkit.Chem.rdchem.Mol object at 0x000001D69563FB30>,False,False
CHEMBL458997,IC50,nM,550.0,IC50,uM,0.55,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,6.259637310505756,<rdkit.Chem.rdchem.Mol object at 0x000001D69563FC10>,False,False
CHEMBL492399,IC50,nM,2.8,IC50,nM,2.8,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1,8.55284196865778,<rdkit.Chem.rdchem.Mol object at 0x000001D6956400B0>,False,False
CHEMBL2420866,IC50,nM,5.0,IC50,nM,5.0,COc1ccc2c(c1)CCCN2c1nc(C)nc2ccccc12,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000001D695640120>,False,False
CHEMBL516047,IC50,nM,8.7,IC50,nM,8.7,CSc1ccc(N(C)c2nc(C)nc3ccccc23)cc1,8.060480747381382,<rdkit.Chem.rdchem.Mol object at 0x000001D695640190>,False,False
CHEMBL4746488,IC50,nM,10.6,IC50,nM,10.6,COc1cccc2cc(N(C)c3nc(C)nc4ccccc34)ccc12,7.97469413473523,<rdkit.Chem.rdchem.Mol object at 0x000001D695640200>,False,False
CHEMBL3604205,IC50,nM,48.9,IC50,nM,48.9,COc1ccc2c(c1)CCCN2c1ncnc2ccccc12,7.31069114087638,<rdkit.Chem.rdchem.Mol object at 0x000001D695640270>,False,False
CHEMBL444724,IC50,nM,3.6,IC50,nM,3.6,COc1ccc(N(C)c2nc(Cl)nc3ccccc23)cc1,8.443697499232712,<rdkit.Chem.rdchem.Mol object at 0x000001D6956402E0>,False,False
CHEMBL2420867,IC50,nM,5.4,IC50,nM,5.4,COc1ccc2c(c1)CCCN2c1nc(Cl)nc2ccccc12,8.267606240177031,<rdkit.Chem.rdchem.Mol object at 0x000001D695640350>,False,False
CHEMBL3651854,IC50,nM,960.0,IC50,uM,0.96,Cc1cc(Nc2nc(Nc3ccccc3S(=O)(=O)C(C)C)c3c(C)[nH]nc3n2)c(OC(C)C)cc1C1CCN(C)CC1,6.017728766960431,<rdkit.Chem.rdchem.Mol object at 0x000001D6956407B0>,False,False
CHEMBL4780286,IC50,nM,0.8,IC50,nM,0.8,OC[C@@H](Nc1ncnc2[nH]c(-c3ccccc3)cc12)c1ccccc1,9.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x000001D695640820>,False,False
